Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Date,Category
/,"2,092","1,350",0:01:07,894,29.93%,24.62%,2018-01-01,Home
/,"2,086","1,289",0:01:34,831,32.57%,22.77%,2018-02-01,Home
/,"4,277","1,979",0:01:19,"1,353",27.81%,17.02%,2018-03-01,Home
/,"3,411","2,159",0:01:16,"1,524",35.31%,28.79%,2018-04-01,Home
/,"2,882","1,861",0:01:02,"1,297",34.75%,27.59%,2018-05-01,Home
/,"2,294","1,481",0:01:05,"1,021",31.60%,25.02%,2018-06-01,Home
/,"2,266","1,420",0:01:16,"1,026",39.92%,29.79%,2018-07-01,Home
/,"2,727","1,704",0:01:14,"1,196",34.81%,27.91%,2018-08-01,Home
/,"1,980","1,365",0:01:18,"1,002",36.73%,32.17%,2018-09-01,Home
/,"2,344","1,671",0:01:15,"1,258",35.58%,35.03%,2018-10-01,Home
/,"1,839","1,319",0:01:16,"1,162",38.54%,38.44%,2018-11-01,Home
/,874,692,0:01:05,671,48.66%,44.97%,2018-12-01,Home
/?customize_changeset_uuid=043d76f0-b2f7-44ed-b2c5-60d1d73d560f&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:07:37,0,0.00%,0.00%,2018-02-01,Exclude
/?customize_changeset_uuid=1008faea-87fe-427c-a4c1-9c97bd1811f3&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:00:39,0,0.00%,0.00%,2018-01-01,Exclude
/?customize_changeset_uuid=2c40d88c-f98d-43f3-b4ba-480bd52a3184&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:00:00,0,0.00%,100.00%,2018-02-01,Exclude
/?customize_changeset_uuid=2c7f9b89-b86e-4a68-9909-cbccac5a3149&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:01:10,0,0.00%,0.00%,2018-05-01,Exclude
/?customize_changeset_uuid=3d6d0a7d-2ce0-4956-afc9-4ad116457ed9&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:01:05,0,0.00%,0.00%,2018-10-01,Exclude
/?customize_changeset_uuid=451d035b-a0b3-4c4a-8054-447704945fa8&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:05:29,0,0.00%,0.00%,2018-02-01,Exclude
/?customize_changeset_uuid=63e8b996-405e-426d-a36f-634a06bf6df7&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:01:47,0,0.00%,0.00%,2018-01-01,Exclude
/?customize_changeset_uuid=6bf68af2-4c9a-4625-a741-5bf5fb323f3b&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:00:10,0,0.00%,0.00%,2018-02-01,Exclude
/?customize_changeset_uuid=75fbae9b-be13-4b09-9685-2235ed409d50&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:00:22,0,0.00%,0.00%,2018-10-01,Exclude
/?customize_changeset_uuid=75fbae9b-be13-4b09-9685-2235ed409d50&customize_theme=aurora&customize_messenger_channel=preview-1&customize_autosaved=on,1,1,0:00:19,0,0.00%,0.00%,2018-10-01,Exclude
/?customize_changeset_uuid=78391e68-8d39-4799-947f-acfa9af9eff9&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:00:11,0,0.00%,0.00%,2018-02-01,Exclude
/?customize_changeset_uuid=84a156f6-795f-4f80-9d00-5bcfa1a9cbe6&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:00:00,0,0.00%,100.00%,2018-02-01,Exclude
/?customize_changeset_uuid=8d312b32-dfda-4815-aa57-40f6b3dfd82f&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:00:30,0,0.00%,0.00%,2018-05-01,Exclude
/?customize_changeset_uuid=8d312b32-dfda-4815-aa57-40f6b3dfd82f&customize_theme=aurora&customize_messenger_channel=preview-1,1,1,0:00:03,0,0.00%,0.00%,2018-05-01,Exclude
/?customize_changeset_uuid=8d312b32-dfda-4815-aa57-40f6b3dfd82f&customize_theme=aurora&customize_messenger_channel=preview-2,1,1,0:00:01,0,0.00%,0.00%,2018-05-01,Exclude
/?customize_changeset_uuid=8d312b32-dfda-4815-aa57-40f6b3dfd82f&customize_theme=aurora&customize_messenger_channel=preview-3,1,1,0:00:02,0,0.00%,0.00%,2018-05-01,Exclude
/?customize_changeset_uuid=8d312b32-dfda-4815-aa57-40f6b3dfd82f&customize_theme=aurora&customize_messenger_channel=preview-4,1,1,0:00:36,0,0.00%,0.00%,2018-05-01,Exclude
/?customize_changeset_uuid=90a82c83-3d2d-4cf3-85f5-daa446cf5570&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:00:54,0,0.00%,0.00%,2018-02-01,Exclude
/?customize_changeset_uuid=9340c14b-c621-4620-a053-7415e8b810ca&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:00:22,0,0.00%,0.00%,2018-02-01,Exclude
/?customize_changeset_uuid=9859a6d8-4f77-47e2-8427-dfa1a450b77f&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:07:53,0,0.00%,0.00%,2018-02-01,Exclude
/?customize_changeset_uuid=98f58536-f3b9-4be3-a137-a4328eeb197f&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:00:23,0,0.00%,0.00%,2018-02-01,Exclude
/?customize_changeset_uuid=9b7b1e43-3c5c-4043-aef6-7e93cbd52ddd&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:00:17,0,0.00%,0.00%,2018-01-01,Exclude
