"","original.DOI","recent.DOI"
"1","doi:10.18739/A26M1M","doi:10.18739/A2TX3566Q"
"2","doi:10.18739/A2TM16","doi:10.18739/A2F18SF79"
"3","doi:10.18739/A2H94F","doi:10.18739/A22804Z93"
"4","doi:10.18739/A2388W","doi:10.18739/A2388W"
"5","doi:10.18739/A2CP8H","doi:10.18739/A2CP8H"
"6","doi:10.18739/A2N94P","doi:10.18739/A2J38KH8T"
"7","doi:10.18739/A2189N","urn:uuid:fd1b5784-b642-45d6-82ea-8b1f49e8592e"
"8","doi:10.18739/A2WH25","doi:10.18739/A2CF9J60S"
"9","doi:10.1002/2015JC011299","Error in get_all_versions(adc, dataframe_DOIs$original.DOI[i]) : 
  trying to get slot ""obsoletes"" from an object of a basic class (""NULL"") with no slots
"
"10","doi:10.1002/jgrc.20295","Error in get_all_versions(adc, dataframe_DOIs$original.DOI[i]) : 
  trying to get slot ""obsoletes"" from an object of a basic class (""NULL"") with no slots
"
"11","doi:10.1002/qj.842","Error in get_all_versions(adc, dataframe_DOIs$original.DOI[i]) : 
  trying to get slot ""obsoletes"" from an object of a basic class (""NULL"") with no slots
"
"12","doi:10.1007/s10546-011-9647-8","Error in get_all_versions(adc, dataframe_DOIs$original.DOI[i]) : 
  trying to get slot ""obsoletes"" from an object of a basic class (""NULL"") with no slots
"
"13","doi:10.1016/j.dsr2.2012.02.001","Error in get_all_versions(adc, dataframe_DOIs$original.DOI[i]) : 
  trying to get slot ""obsoletes"" from an object of a basic class (""NULL"") with no slots
"
"14","doi:10.1016/j.dsr2.2013.03.008","Error in get_all_versions(adc, dataframe_DOIs$original.DOI[i]) : 
  trying to get slot ""obsoletes"" from an object of a basic class (""NULL"") with no slots
"
"15","doi:10.1016/j.dsr2.2013.09.022","Error in get_all_versions(adc, dataframe_DOIs$original.DOI[i]) : 
  trying to get slot ""obsoletes"" from an object of a basic class (""NULL"") with no slots
"
"16","doi:10.1016/j.pocean.2014.04.006","Error in get_all_versions(adc, dataframe_DOIs$original.DOI[i]) : 
  trying to get slot ""obsoletes"" from an object of a basic class (""NULL"") with no slots
"
"17","doi:10.1029/2006JD007865","Error in get_all_versions(adc, dataframe_DOIs$original.DOI[i]) : 
  trying to get slot ""obsoletes"" from an object of a basic class (""NULL"") with no slots
"
"18","doi:10.1029/2008GL035736","Error in get_all_versions(adc, dataframe_DOIs$original.DOI[i]) : 
  trying to get slot ""obsoletes"" from an object of a basic class (""NULL"") with no slots
"
"19","doi:10.1029/2010GL045501","Error in get_all_versions(adc, dataframe_DOIs$original.DOI[i]) : 
  trying to get slot ""obsoletes"" from an object of a basic class (""NULL"") with no slots
"
"20","doi:10.1111/j.1461-0248.2007.01051.x","Error in get_all_versions(adc, dataframe_DOIs$original.DOI[i]) : 
  trying to get slot ""obsoletes"" from an object of a basic class (""NULL"") with no slots
"
"21","doi:10.1126/science.1174190","Error in get_all_versions(adc, dataframe_DOIs$original.DOI[i]) : 
  trying to get slot ""obsoletes"" from an object of a basic class (""NULL"") with no slots
"
"22","doi:10.1175/JTECH2016.1","Error in get_all_versions(adc, dataframe_DOIs$original.DOI[i]) : 
  trying to get slot ""obsoletes"" from an object of a basic class (""NULL"") with no slots
"
"23","doi:10.18739/A2001J","doi:10.18739/A2Z02Z88N"
"24","doi:10.18739/A20039","doi:10.18739/A2ZK55K85"
"25","doi:10.18739/A2006F","doi:10.18739/A2006F"
"26","doi:10.18739/A20086","doi:10.18739/A2MT1D"
"27","doi:10.18739/A2009K","doi:10.18739/A28G8FH9Z"
"28","doi:10.18739/A20306","doi:10.18739/A20306"
"29","doi:10.18739/A2033B","doi:10.18739/A2033B"
"30","doi:10.18739/A20353","doi:10.18739/A20353"
"31","doi:10.18739/A2036G","doi:10.18739/A2036G"
"32","doi:10.18739/A20599","doi:10.18739/A2FX73Z3D"
"33","doi:10.18739/A20607","doi:10.18739/A2R20RW0F"
"34","doi:10.18739/A2064R","doi:10.18739/A2PK0729C"
"35","doi:10.18739/A20654","doi:10.18739/A2086358J"
"36","doi:10.18739/A2066H","doi:10.18739/A20C4SK70"
"37","doi:10.18739/A2089B","doi:10.18739/A2MW28F51"
"38","doi:10.18739/A2091N","doi:10.18739/A2091N"
"39","doi:10.18739/A2093D","doi:10.18739/A2154DN82"
"40","doi:10.18739/A2094S","doi:10.18739/A2094S"
"41","doi:10.18739/A20955","doi:10.18739/A2MS3K255"
"42","doi:10.18739/A20C7M","doi:10.18739/A20C7M"
"43","doi:10.18739/A20G68","doi:10.18739/A23T9D71C"
"44","doi:10.18739/A20G68?","Error in get_all_versions(adc, dataframe_DOIs$original.DOI[i]) : 
  trying to get slot ""obsoletes"" from an object of a basic class (""NULL"") with no slots
"
"45","doi:10.18739/A20G7N","doi:10.18739/A2S54J"
"46","doi:10.18739/A20G9D","doi:10.18739/A2XC57"
"47","doi:10.18739/A20H0B","doi:10.18739/A20H0B"
"48","doi:10.18739/A20H1Q","doi:10.18739/A2GF0MW8Z"
"49","doi:10.18739/A20H23","doi:10.18739/A27P8TD50"
"50","doi:10.18739/A20K69","doi:10.18739/A2KK94D0R"
"51","doi:10.18739/A20K7P","doi:10.18739/A20K7P"
"52","doi:10.18739/A20M0C","doi:10.18739/A2ST7DX3R"
"53","doi:10.18739/A20M1R","doi:10.18739/A25T3G06T"
"54","doi:10.18739/A20P9G","urn:uuid:f7bda308-a643-4bc5-a23d-ad76b48c479a"
"55","doi:10.18739/A20Q0D","doi:10.18739/A2JQ0SV7G"
"56","doi:10.18739/A20S6C","doi:10.18739/A2P26Q438"
"57","doi:10.18739/A20S9H","doi:10.18739/A2Z60C268"
"58","doi:10.18739/A20T0F","doi:10.18739/A27D2Q670"
"59","doi:10.18739/A20W38","doi:10.18739/A20W38"
"60","doi:10.18739/A20W85","doi:10.18739/A2Q52FD1D"
"61","doi:10.18739/A2101V","doi:10.18739/A2MK6584G"
"62","doi:10.18739/A2103M","doi:10.18739/A20G00"
"63","doi:10.18739/A2106R","doi:10.18739/A2QV3C348"
"64","doi:10.18739/A21074","doi:10.18739/A21074"
"65","doi:10.18739/A2108H","doi:10.18739/A2X09Z"
"66","doi:10.18739/A2131W","doi:10.18739/A2P29G"
"67","doi:10.18739/A2136S","doi:10.18739/A2H70811G"
"68","doi:10.18739/A21375","doi:10.18739/A21375"
"69","doi:10.18739/A2165F","doi:10.18739/A2165F"
"70","doi:10.18739/A2166T","doi:10.18739/A2Z60C268"
"71","doi:10.18739/A2191Z","doi:10.18739/A2191Z"
"72","doi:10.18739/A2193Q","doi:10.18739/A2CR5ND09"
"73","doi:10.18739/A21943","doi:10.18739/A2C24QN6W"
"74","doi:10.18739/A21C9P","doi:10.18739/A21C9P"
"75","doi:10.18739/A21D2C","doi:10.18739/A2QZ22H6J"
"76","doi:10.18739/A21D3R","doi:10.18739/A2Z60C268"
"77","doi:10.18739/A21G7Z","doi:10.18739/A2QJ77Z7P"
"78","doi:10.18739/A21H0N","doi:10.18739/A22S2G"
"79","doi:10.18739/A21H11","doi:10.18739/A21H11"
"80","doi:10.18739/A21H2D","doi:10.18739/A2513TW4Q"
"81","doi:10.18739/A21K6M","doi:10.18739/A21K6M"
"82","doi:10.18739/A21M2F","doi:10.18739/A2TT4FT30"
"83","doi:10.18739/A21Q0Q","doi:10.18739/A2NG4GS2G"
"84","doi:10.18739/A21S3J","doi:10.18739/A20005"
"85","doi:10.18739/A21S4X","doi:10.18739/A27358"
"86","doi:10.18739/A21S59","doi:10.18739/A27659F0V"
"87","doi:10.18739/A21S72","doi:10.18739/A2G15TB81"
"88","doi:10.18739/A21S9T","doi:10.18739/A2JH22"
"89","doi:10.18739/A21W73","doi:10.18739/A21W73"
"90","doi:10.18739/A21W8G","doi:10.18739/A21W8G"
"91","doi:10.18739/A22015","doi:10.18739/A22015"
"92","doi:10.18739/A2202J","doi:10.18739/A2T14TP0C"
"93","doi:10.18739/A22049","doi:10.18739/A2JS9H719"
"94","doi:10.18739/A2205P","doi:10.18739/A21C1TG1B"
"95","doi:10.18739/A22062","doi:10.18739/A22062"
