Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Date,Category
/,480,259,0:02:22,208,42.31%,28.96%,2016-03-01,Home
/,"1,070",805,0:01:27,694,54.61%,45.23%,2016-04-01,Home
/,724,605,0:01:12,510,63.26%,51.66%,2016-05-01,Home
/,762,635,0:01:05,533,53.47%,46.72%,2016-06-01,Home
/,979,812,0:01:02,723,44.40%,40.04%,2016-07-01,Home
/,899,692,0:01:17,532,44.92%,35.48%,2016-08-01,Home
/,600,452,0:01:04,342,44.15%,32.83%,2016-09-01,Home
/,630,510,0:00:53,402,45.79%,36.67%,2016-10-01,Home
/,"1,252",904,0:01:39,653,29.31%,32.35%,2016-11-01,Home
/,"1,554","1,164",0:01:16,748,36.95%,31.53%,2016-12-01,Home
/?option=com_phocadownload&view=category&id=11:fishing&Itemid=166,1,1,0:00:05,0,0.00%,0.00%,2016-05-01,Home
/?p=481&preview=true,2,1,0:00:44,0,0.00%,0.00%,2016-04-01,Exclude
/?p=553&preview=true,1,1,0:00:11,0,0.00%,0.00%,2016-10-01,Exclude
/?page_id=530&preview=true,1,1,0:04:57,0,0.00%,0.00%,2016-07-01,Exclude
/?page_id=550&preview=true,1,1,0:02:23,0,0.00%,0.00%,2016-10-01,Exclude
/?preview_id=406&preview_nonce=b932fffc93&_thumbnail_id=-1&preview=true,13,1,0:01:24,0,0.00%,0.00%,2016-12-01,Exclude
/?preview_id=81&preview_nonce=0af65108be&preview=true,2,1,0:00:29,0,0.00%,0.00%,2016-03-01,Exclude
/?preview_id=81&preview_nonce=42c3ef8726&preview=true,6,1,0:00:29,0,0.00%,0.00%,2016-03-01,Exclude
/?s=agreement,2,1,0:00:06,0,0.00%,0.00%,2016-05-01,Cathome
/?s=Alkire,1,1,0:00:12,0,0.00%,0.00%,2016-11-01,Cathome
/?s=axford,1,1,0:00:03,0,0.00%,0.00%,2016-06-01,Cathome
/?s=Bisiaux,1,1,0:00:02,0,0.00%,0.00%,2016-08-01,Cathome
/?s=Buoys,1,1,0:00:02,0,0.00%,0.00%,2016-06-01,Cathome
/?s=Bykovsku,1,1,0:00:15,0,0.00%,0.00%,2016-06-01,Cathome
/?s=Bykovsky,1,1,0:00:16,0,0.00%,0.00%,2016-06-01,Cathome
/?s=clow,1,1,0:00:13,0,0.00%,0.00%,2016-09-01,Cathome
/?s=coldfoot,1,1,0:00:10,0,0.00%,0.00%,2016-08-01,Cathome
/?s=curry,1,1,0:00:08,0,0.00%,0.00%,2016-07-01,Cathome
/?s=doi,1,1,0:00:07,0,0.00%,0.00%,2016-03-01,Cathome
/?s=FBD_b_daily_2014,1,1,0:00:02,0,0.00%,0.00%,2016-10-01,Cathome
/?s=hamilton,1,1,0:00:06,0,0.00%,0.00%,2016-05-01,Cathome
/?s=helheim,1,1,0:00:07,0,0.00%,0.00%,2016-05-01,Cathome
/?s=hi,1,1,0:00:09,0,0.00%,0.00%,2016-04-01,Cathome
/?s=judith+curry,1,1,0:00:04,0,0.00%,0.00%,2016-07-01,Cathome
/?s=Kotzebue,1,1,0:00:36,0,0.00%,0.00%,2016-06-01,Cathome
/?s=Matrai,1,1,0:00:12,0,0.00%,0.00%,2016-05-01,Cathome
/?s=Matrai,1,1,0:00:07,0,0.00%,0.00%,2016-06-01,Cathome
/?s=matrai,1,1,0:00:12,0,0.00%,0.00%,2016-07-01,Cathome
/?s=Matrai,1,1,0:00:00,0,0.00%,100.00%,2016-08-01,Cathome
/?s=O-Buoys,1,1,0:00:03,0,0.00%,0.00%,2016-06-01,Cathome
/?s=oberbauer,1,1,0:00:06,0,0.00%,0.00%,2016-06-01,Cathome
/?s=old+man,1,1,0:00:13,0,0.00%,0.00%,2016-08-01,Cathome
/?s=permafrost,1,1,0:00:12,0,0.00%,0.00%,2016-04-01,Cathome
/?s=Permafrost+Alaska,1,1,0:00:00,0,0.00%,100.00%,2016-04-01,Cathome
/?s=pickart,1,1,0:00:13,0,0.00%,0.00%,2016-05-01,Cathome
/?s=r29,1,1,0:00:00,0,0.00%,100.00%,2016-06-01,Cathome
/?s=sizonet,1,1,0:00:09,0,0.00%,0.00%,2016-08-01,Cathome
/?s=slushball+earth,1,1,0:00:00,0,0.00%,100.00%,2016-04-01,Cathome
/?s=soil+temperature,1,1,0:00:02,0,0.00%,0.00%,2016-06-01,Cathome
/?s=Soil+Temperature+profiles,1,1,0:00:11,0,0.00%,0.00%,2016-06-01,Cathome
/?s=Urengoy,1,1,0:00:21,0,0.00%,0.00%,2016-05-01,Cathome
/?s=urn:uuid:ef1feed0-9057-4afb-963e-03769a0b3e85,1,1,0:19:13,0,0.00%,0.00%,2016-11-01,Cathome
/?s=well,1,1,0:00:00,0,0.00%,100.00%,2016-12-01,Cathome
/?s=yukon+bridge,1,1,0:02:42,0,0.00%,0.00%,2016-11-01,Cathome
/?s=Yuri+Shur,1,1,0:00:17,0,0.00%,0.00%,2016-07-01,Cathome
/),1,1,0:03:12,0,0.00%,0.00%,2016-04-01,Home
/),1,1,0:00:06,1,0.00%,0.00%,2016-06-01,Home
/),1,1,0:00:57,1,0.00%,0.00%,2016-08-01,Home
/),1,1,0:00:09,1,0.00%,0.00%,2016-11-01,Home
/=,1,1,0:00:06,0,0.00%,0.00%,2016-04-01,Home
/=0A,1,1,0:00:05,0,0.00%,0.00%,2016-04-01,Home
/=0A=,1,1,0:00:16,1,0.00%,0.00%,2016-04-01,Home
/1577.2,1,1,0:00:04,0,0.00%,0.00%,2016-10-01,Home
/75482301-1.compliance-barak.xyz,24,8,0:00:00,8,0.00%,33.33%,2016-12-01,Home
/about,2,2,0:00:05,0,0.00%,0.00%,2016-03-01,About
/about/,59,42,0:02:18,2,50.00%,23.73%,2016-03-01,About
/about/,54,46,0:02:06,5,20.00%,24.07%,2016-04-01,About
/about/,42,38,0:02:26,7,71.43%,38.10%,2016-05-01,About
/about/,66,54,0:00:38,8,62.50%,37.88%,2016-06-01,About
/about/,87,70,0:03:00,13,38.46%,36.78%,2016-07-01,About
/about/,54,46,0:02:54,8,50.00%,25.93%,2016-08-01,About
/about/,36,35,0:02:55,8,62.50%,38.89%,2016-09-01,About
/about/,34,30,0:02:52,6,50.00%,38.24%,2016-10-01,About
/about/,46,39,0:02:17,6,33.33%,34.78%,2016-11-01,About
/about/,44,38,0:03:45,8,62.50%,34.09%,2016-12-01,About
/about/?preview_id=16&preview_nonce=06ac55191b&preview=true,2,1,0:01:12,0,0.00%,0.00%,2016-03-01,Exclude
/about/?preview_id=16&preview_nonce=a39b770ca1&preview=true,7,2,0:02:54,1,0.00%,14.29%,2016-03-01,Exclude
/about/cadis/netcdf-conversions.htm,2,1,0:00:09,1,0.00%,50.00%,2016-04-01,About
/about/cadis/realtime.htm,1,1,0:00:00,1,100.00%,100.00%,2016-06-01,About
/about/cadis/realtime.htm,2,1,0:01:53,1,0.00%,0.00%,2016-10-01,About
/about/cadis/realtime.htm,2,1,0:01:31,1,0.00%,0.00%,2016-12-01,About
/about/cadis/related-links.htm,1,1,0:00:00,1,100.00%,100.00%,2016-04-01,About
/about/cadis/related-links.htm,1,1,0:00:00,1,100.00%,100.00%,2016-10-01,About
/ac/root/lookupUser.htm?identifier=4187bc9f-f868-11e5-9ab1-00c0f03d5b7c,1,1,0:03:30,1,0.00%,0.00%,2016-04-01,Exclude
/api,1,1,0:00:00,0,0.00%,100.00%,2016-04-01,API
/api,4,4,0:09:00,0,0.00%,25.00%,2016-05-01,API
/api,3,2,0:05:46,0,0.00%,33.33%,2016-07-01,API
